YR,TM,WON,TITLE_GAME,FINAL_FOUR,PTS,OPP_PTS,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_3P,OPP_3PA,OPP_FT,OPP_FTA,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,FG%,2P,2PA,2P%,3P%,DRB,OPP_2P,OPP_2PA,OPP_FG%,OPP_2P%,OPP_3P%,OPP_DRB,PTS_DIFF,PTS/OPP_PTS,AST/TOV,AST/OPP_AST,TRB_DIFF,TRB%,DRB%,ORB%,BLK/OPP_BLK,FG%/OPP_FG%,2P%/OPP_2P%,3P%/OPP_3P%,3PA/FGA,FGA/OPP_FGA,FGA_DIFF,eFG%,OPP_eFG%,eFG%/OPP_eFG%,2P/OPP_2P,3P/OPP_3P,FG/OPP_FG,FT/OPP_FT,2PA/OPP_2PA,3PA/OPP_3PA,FTA/OPP_FTA,STL/OPP_STL,TOV/OPP_TOV,PF/OPP_PF,FT%,OPP_FT%,FT%/OPP_FT%
2021,houston,0,0,1,67.6,60.2,23.0,59.4,7.8,24.8,13.8,20.2,14.2,32.6,13.0,6.8,4.6,8.4,13.8,20.8,49.2,7.0,18.8,11.6,17.0,6.6,24.8,12.8,4.6,2.4,11.0,19.6,0.3872053872053872,15.2,34.599999999999994,0.43930635838150295,0.31451612903225806,18.400000000000002,13.8,30.400000000000002,0.4227642276422764,0.4539473684210526,0.3723404255319149,18.200000000000003,7.3999999999999915,1.122923588039867,1.5476190476190474,1.015625,7.800000000000001,0.5679442508710801,0.7360000000000001,0.4382716049382715,1.9166666666666665,0.915889665889666,0.9677473402027312,1.1798513625103222,0.41750841750841755,1.2073170731707317,10.199999999999996,0.45286195286195285,0.49390243902439024,0.9169056823377811,1.1014492753623186,1.1142857142857143,1.1057692307692308,1.1896551724137931,1.1381578947368418,1.3191489361702127,1.188235294117647,1.4782608695652175,0.7636363636363637,0.7040816326530612,0.6831683168316832,0.6823529411764706,1.001194947080915
2021,ucla,0,0,1,73.8,65.8,27.8,60.6,7.2,19.4,11.0,16.4,8.8,33.0,14.0,4.8,3.4,6.8,16.8,25.8,58.2,4.8,19.2,9.4,16.6,7.6,31.6,13.0,4.6,3.0,11.4,16.6,0.45874587458745875,20.6,41.2,0.5,0.3711340206185567,24.2,21.0,39.0,0.44329896907216493,0.5384615384615384,0.25,24.0,8.0,1.121580547112462,2.058823529411765,1.0769230769230769,1.3999999999999986,0.5108359133126935,0.7610062893081762,0.26829268292682934,1.1333333333333333,1.0348453449996162,0.9285714285714286,2.0,0.3201320132013201,1.041237113402062,2.3999999999999986,0.5181518151815182,0.48453608247422675,1.0693771504810057,0.980952380952381,1.5,1.0775193798449612,1.1702127659574468,1.0564102564102564,1.0104166666666667,0.9879518072289155,1.0434782608695652,0.5964912280701754,1.0120481927710843,0.6707317073170732,0.5662650602409638,1.1844836533471719
2019,virginia,1,1,1,69.2,61.7,25.7,56.8,8.3,25.0,9.5,13.0,9.7,33.8,13.3,5.2,4.5,8.5,12.2,22.2,53.3,9.8,27.2,7.5,9.5,5.7,27.2,9.0,3.8,2.5,8.8,14.5,0.4524647887323944,17.4,31.799999999999997,0.5471698113207547,0.332,24.099999999999998,12.399999999999999,26.099999999999998,0.41651031894934337,0.47509578544061304,0.3602941176470589,21.5,7.5,1.1215559157212318,1.5647058823529412,1.4777777777777779,6.599999999999998,0.5540983606557377,0.8087248322147651,0.3108974358974359,1.8,1.0863231188935414,1.1517041996348143,1.5186753946861762,0.44014084507042256,1.0656660412757974,3.5,0.5255281690140846,0.5084427767354597,1.0336033730055612,1.403225806451613,0.8469387755102041,1.1576576576576576,1.2666666666666666,1.2183908045977012,0.9191176470588236,1.368421052631579,1.368421052631579,0.9659090909090908,0.8413793103448275,0.7307692307692307,0.7894736842105263,0.9256410256410256
2019,texas-tech,0,1,1,71.0,60.7,25.5,55.8,7.5,21.3,12.5,16.5,5.5,30.7,11.5,7.0,4.8,9.7,15.7,20.8,54.7,6.7,23.7,12.3,17.3,8.2,32.5,11.2,5.2,2.5,13.5,16.3,0.456989247311828,18.0,34.5,0.5217391304347826,0.352112676056338,25.2,14.100000000000001,31.000000000000004,0.3802559414990859,0.45483870967741935,0.28270042194092826,24.3,10.299999999999997,1.1696869851729819,1.1855670103092784,1.0267857142857144,-1.8000000000000007,0.48575949367088606,0.7544910179640719,0.18456375838926173,1.92,1.2017938378825477,1.147086031452359,1.845554834523037,0.38172043010752693,1.0201096892138939,1.0999999999999943,0.5241935483870968,0.44149908592321757,1.1873038135310223,1.276595744680851,1.1194029850746268,1.2259615384615383,1.0162601626016259,1.1129032258064515,0.8987341772151899,0.9537572254335259,1.346153846153846,0.7185185185185184,0.9631901840490796,0.7575757575757576,0.7109826589595376,1.0655333826065532
2019,auburn,0,0,1,80.6,73.2,28.2,60.8,11.6,30.4,12.6,18.2,7.6,28.6,13.6,7.8,4.2,7.8,19.0,26.4,57.4,6.4,22.4,14.0,20.0,10.2,35.0,14.4,4.6,3.8,13.0,16.6,0.46381578947368424,16.6,30.4,0.5460526315789475,0.3815789473684211,21.0,20.0,35.0,0.45993031358885017,0.5714285714285714,0.28571428571428575,24.8,7.3999999999999915,1.1010928961748632,1.7435897435897436,0.9444444444444444,-6.399999999999999,0.449685534591195,0.6730769230769231,0.2345679012345679,1.105263157894737,1.008447966507177,0.9555921052631581,1.911184210526316,0.5,1.0592334494773519,3.3999999999999986,0.5592105263157895,0.5156794425087108,1.0844150071123757,0.8300000000000001,1.8124999999999998,1.0681818181818181,0.9,0.8685714285714285,1.3571428571428572,0.9099999999999999,1.6956521739130437,0.6,1.1445783132530118,0.6923076923076923,0.7,0.989010989010989
2019,michigan-state,0,0,1,69.0,61.2,25.4,57.2,7.4,21.8,10.8,13.8,9.6,34.8,14.2,4.6,3.8,10.2,14.4,22.4,56.0,6.6,21.6,9.8,14.4,6.4,27.4,9.8,5.0,3.4,9.2,14.4,0.444055944055944,18.0,35.400000000000006,0.5084745762711863,0.3394495412844037,25.199999999999996,15.799999999999999,34.4,0.39999999999999997,0.45930232558139533,0.3055555555555555,21.0,7.799999999999997,1.1274509803921569,1.392156862745098,1.4489795918367345,7.399999999999999,0.5594855305466238,0.7974683544303798,0.3137254901960784,1.1176470588235294,1.1101398601398602,1.1070585711220766,1.6640986132511553,0.3811188811188811,1.0214285714285716,1.2000000000000028,0.5087412587412586,0.4589285714285714,1.1085412641832875,1.139240506329114,1.1212121212121213,1.1339285714285714,1.1020408163265305,1.0290697674418607,1.0092592592592593,0.9583333333333334,0.9199999999999999,1.108695652173913,1.0,0.782608695652174,0.6805555555555556,1.1499556344276842
2018,villanova,1,1,1,83.8,66.2,27.5,58.0,12.7,30.5,16.2,19.8,10.2,36.2,14.7,5.3,4.5,11.2,17.7,23.2,59.0,5.7,22.0,14.2,19.7,8.8,30.2,9.3,6.3,2.3,11.2,18.8,0.47413793103448276,14.8,27.5,0.5381818181818182,0.4163934426229508,26.000000000000004,17.5,37.0,0.3932203389830508,0.47297297297297297,0.2590909090909091,21.4,17.599999999999994,1.2658610271903323,1.3125,1.5806451612903223,6.0000000000000036,0.5451807228915663,0.7471264367816092,0.3227848101265823,1.956521739130435,1.205781807372176,1.13787012987013,2.0771929824561406,0.5258620689655172,0.9830508474576272,-1.0,0.5836206896551724,0.4415254237288136,1.3218280495069163,0.8457142857142858,2.2280701754385963,1.1853448275862069,1.1408450704225352,0.7432432432432432,1.3863636363636365,1.0050761421319798,0.8412698412698413,1.0,0.9414893617021276,0.8181818181818181,0.7208121827411167,1.1350832266325224
2018,michigan,0,1,1,68.8,62.0,24.8,55.3,6.8,23.8,12.3,18.3,6.0,30.8,11.2,7.0,2.5,9.5,16.3,22.5,56.0,4.7,17.0,12.3,16.2,9.0,33.8,7.8,5.0,3.2,13.0,18.3,0.44846292947558775,18.0,31.499999999999996,0.5714285714285715,0.2857142857142857,24.8,17.8,39.0,0.4017857142857143,0.45641025641025645,0.27647058823529413,24.799999999999997,6.799999999999997,1.1096774193548387,1.1789473684210525,1.435897435897436,-2.9999999999999964,0.476780185758514,0.7337278106508877,0.19480519480519481,0.78125,1.1161744022503517,1.2520064205457464,2.066869300911854,0.43037974683544306,0.9874999999999999,-0.7000000000000028,0.5099457504520796,0.44375000000000003,1.1491735221455313,1.0112359550561798,1.4468085106382977,1.1022222222222222,1.0,0.8076923076923076,1.4000000000000001,1.1296296296296298,1.4,0.7307692307692307,0.8907103825136612,0.6721311475409836,0.7592592592592593,0.8852459016393441
2018,kansas,0,0,1,80.6,78.2,28.2,61.6,9.2,23.4,15.0,20.0,9.4,35.2,14.2,5.8,3.6,11.4,15.6,29.0,64.0,10.4,28.4,9.8,14.8,9.6,31.8,13.8,5.0,3.4,11.6,17.0,0.45779220779220775,19.0,38.2,0.49738219895287955,0.39316239316239315,25.800000000000004,18.6,35.6,0.453125,0.5224719101123596,0.36619718309859156,22.200000000000003,2.3999999999999915,1.0306905370843988,1.2456140350877192,1.0289855072463767,3.400000000000002,0.5253731343283583,0.728813559322034,0.2974683544303797,1.0588235294117647,1.0103000447828032,0.951978832404436,1.3582360048328634,0.37987012987012986,0.9625,-2.3999999999999986,0.5324675324675324,0.534375,0.9964304701146804,1.021505376344086,0.8846153846153845,0.9724137931034482,1.530612244897959,1.0730337078651686,0.823943661971831,1.3513513513513513,1.16,0.9827586206896552,0.9176470588235294,0.75,0.6621621621621622,1.1326530612244898
2018,loyola-il,0,0,1,66.2,64.6,25.2,49.8,6.2,16.4,9.6,13.0,4.0,28.0,14.8,4.4,1.6,13.2,14.4,24.4,57.4,6.6,23.0,9.2,12.6,8.2,27.8,10.2,8.4,3.6,9.6,14.6,0.5060240963855421,19.0,33.4,0.5688622754491018,0.37804878048780494,24.0,17.799999999999997,34.4,0.4250871080139373,0.5174418604651162,0.28695652173913044,19.6,1.6000000000000085,1.0247678018575852,1.1212121212121213,1.450980392156863,0.1999999999999993,0.5017921146953406,0.7453416149068323,0.1694915254237288,0.4444444444444445,1.190400948054513,1.0993742851375903,1.9823988386862639,0.3293172690763052,0.867595818815331,-7.600000000000001,0.568273092369478,0.48257839721254353,1.177576732924478,1.0674157303370788,0.9393939393939394,1.0327868852459017,1.0434782608695652,0.9709302325581395,0.7130434782608696,1.0317460317460319,0.5238095238095238,1.375,0.9863013698630138,0.7384615384615384,0.7301587301587301,1.011371237458194
2017,north-carolina,1,1,1,81.7,70.5,28.5,65.7,6.2,21.0,18.5,27.2,14.0,42.0,17.2,7.8,4.8,11.2,17.7,24.0,60.7,7.5,23.3,15.0,19.7,8.7,33.0,10.8,5.8,3.7,13.2,20.2,0.4337899543378995,22.3,44.7,0.4988814317673378,0.29523809523809524,28.0,16.5,37.400000000000006,0.39538714991762763,0.4411764705882352,0.3218884120171674,24.3,11.200000000000003,1.1588652482269504,1.5357142857142858,1.5925925925925923,9.0,0.56,0.7629427792915531,0.3655352480417755,1.2972972972972971,1.097127092846271,1.130797912005966,1.5498583146905294,0.319634703196347,1.0823723228995057,5.0,0.4809741248097412,0.45716639209225696,1.0520767342685151,1.3515151515151516,0.8266666666666667,1.1875,1.2333333333333334,1.195187165775401,0.9012875536480687,1.380710659898477,1.3448275862068966,0.8484848484848485,0.8762376237623762,0.6801470588235294,0.7614213197969544,0.8932598039215686
2017,gonzaga,0,1,1,71.8,63.3,24.5,57.7,7.5,19.7,15.3,25.0,9.8,39.3,11.0,4.8,6.0,12.3,19.8,22.3,64.2,5.2,21.7,13.5,20.5,12.2,37.3,10.0,6.2,5.5,9.5,20.8,0.42461005199306756,17.0,38.0,0.4473684210526316,0.3807106598984772,29.499999999999996,17.1,42.5,0.34735202492211836,0.40235294117647064,0.23963133640552997,25.099999999999998,8.5,1.1342812006319116,0.8943089430894309,1.1,2.0,0.5130548302872062,0.7074340527577938,0.28080229226361036,1.0909090909090908,1.2224199703118808,1.1118805786395813,1.866902834008097,0.34142114384748695,0.8987538940809969,-6.5,0.4896013864818024,0.38785046728971967,1.2623457434591048,0.9941520467836257,1.4423076923076923,1.0986547085201794,1.1333333333333333,0.8941176470588236,0.9078341013824884,1.2195121951219512,0.7741935483870968,1.2947368421052632,0.9519230769230769,0.612,0.6585365853658537,0.9293333333333332
2017,oregon,0,0,1,77.4,70.8,27.4,57.6,8.4,21.4,14.2,19.8,10.0,36.4,11.2,6.4,4.4,11.2,14.0,25.8,61.8,8.0,25.0,11.2,15.0,8.8,29.6,13.4,5.2,3.0,9.6,17.8,0.4756944444444444,19.0,36.2,0.5248618784530387,0.39252336448598135,26.4,17.8,36.8,0.41747572815533984,0.4836956521739131,0.32,20.8,6.6000000000000085,1.093220338983051,1.0,0.835820895522388,6.799999999999997,0.5515151515151515,0.7499999999999999,0.3246753246753247,1.4666666666666668,1.1394541343669249,1.0851077037680799,1.6401933701657458,0.37152777777777773,0.9320388349514563,-4.199999999999996,0.548611111111111,0.482200647249191,1.1377237136465321,1.0674157303370786,1.05,1.0620155038759689,1.2678571428571428,0.9836956521739132,0.856,1.32,1.2307692307692308,1.1666666666666667,0.7865168539325842,0.7171717171717171,0.7466666666666666,0.9604978354978355
2017,south-carolina,0,0,1,80.2,70.2,27.4,60.0,6.4,19.2,19.0,25.4,10.6,34.0,12.8,7.4,3.6,9.4,17.2,23.6,56.6,8.0,22.6,15.0,18.0,7.6,29.4,12.0,5.0,5.2,15.4,21.6,0.45666666666666667,21.0,40.8,0.5147058823529412,0.33333333333333337,23.4,15.600000000000001,34.0,0.4169611307420495,0.45882352941176474,0.35398230088495575,21.799999999999997,10.0,1.1424501424501425,1.3617021276595744,1.0666666666666667,4.600000000000001,0.5362776025236593,0.7548387096774193,0.3271604938271605,0.6923076923076923,1.0952259887005649,1.1217948717948718,1.454044117647059,0.32,1.0600706713780919,3.3999999999999986,0.51,0.4876325088339223,1.0458695652173913,1.346153846153846,0.8,1.1610169491525422,1.2666666666666666,1.2,0.8495575221238937,1.411111111111111,1.48,0.6103896103896104,0.7962962962962962,0.7480314960629921,0.8333333333333334,0.8976377952755905
2016,villanova,1,1,1,83.5,62.8,30.2,51.8,9.3,18.7,13.8,17.0,5.5,27.8,14.7,8.8,3.3,9.8,14.2,23.7,56.2,7.5,20.7,8.0,12.3,9.7,26.0,12.0,5.5,2.2,13.7,18.2,0.5830115830115831,20.9,33.099999999999994,0.6314199395770393,0.4973262032085562,22.3,16.2,35.5,0.42170818505338076,0.4563380281690141,0.36231884057971014,16.3,20.700000000000003,1.3296178343949046,1.4999999999999998,1.2249999999999999,1.8000000000000007,0.516728624535316,0.696875,0.25229357798165136,1.4999999999999998,1.3825000407278891,1.3836671515422776,1.7427190332326286,0.361003861003861,0.9217081850533807,-4.400000000000006,0.6727799227799228,0.48843416370106757,1.3774219184055252,1.2901234567901234,1.24,1.2742616033755274,1.725,0.932394366197183,0.9033816425120773,1.3821138211382114,1.6,0.7153284671532848,0.7802197802197802,0.8117647058823529,0.6504065040650406,1.2480882352941176
2016,north-carolina,0,1,1,85.7,72.7,31.3,62.2,6.8,17.0,16.2,20.2,13.3,36.0,16.0,5.8,4.7,10.0,18.2,25.8,56.5,7.7,20.3,13.3,19.5,8.5,25.3,8.5,4.8,2.8,10.5,19.2,0.5032154340836013,24.5,45.2,0.5420353982300885,0.39999999999999997,22.7,18.1,36.2,0.45663716814159294,0.5,0.3793103448275862,16.8,13.0,1.1788170563961486,1.6,1.8823529411764706,10.7,0.5872756933115824,0.7275641025641025,0.4418604651162791,1.6785714285714288,1.1020027916947082,1.084070796460177,1.429002413515688,0.2733118971061093,1.1008849557522125,5.700000000000003,0.5578778135048231,0.524778761061947,1.0630723933565769,1.3535911602209945,0.8831168831168831,1.2131782945736433,1.2180451127819547,1.2486187845303867,0.8374384236453202,1.0358974358974358,1.2083333333333333,0.9523809523809523,0.9479166666666666,0.801980198019802,0.6820512820512821,1.1758356286756495
2016,oklahoma,0,0,1,75.0,75.0,26.8,59.4,9.6,24.4,11.8,17.4,11.0,31.0,14.4,5.2,4.2,13.6,18.4,26.8,58.2,7.4,23.2,14.0,20.6,10.2,32.8,13.8,8.2,2.6,12.4,16.6,0.4511784511784512,17.200000000000003,35.0,0.4914285714285715,0.39344262295081966,20.0,19.4,35.0,0.46048109965635736,0.5542857142857143,0.31896551724137934,22.599999999999998,0.0,1.0,1.0588235294117647,1.0434782608695652,-1.7999999999999972,0.4858934169278997,0.6622516556291391,0.32738095238095244,1.6153846153846154,0.9797979797979799,0.8865979381443301,1.5406949806949808,0.41077441077441074,1.0206185567010309,1.1999999999999957,0.531986531986532,0.5240549828178694,1.0151349561185627,0.8865979381443301,1.2972972972972971,1.0,0.8428571428571429,1.0,1.0517241379310345,0.8446601941747571,0.6341463414634148,1.096774193548387,1.1084337349397588,0.67816091954023,0.6796116504854368,0.997865353037767
