YR,TM,WON,TITLE_GAME,FINAL_FOUR,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,PTS_DIFF,PTS/OPP_PTS,AST/TOV,AST/OPP_AST,TRB_DIFF,TRB%,DRB%,ORB%,BLK/OPP_BLK,FG%/OPP_FG%,2P%/OPP_2P%,3P%/OPP_3P%,3PA/FGA,FGA/OPP_FGA,FGA_DIFF,eFG%,OPP_eFG%,eFG%/OPP_eFG%,2P/OPP_2P,3P/OPP_3P,FG/OPP_FG,FT/OPP_FT,2PA/OPP_2PA,3PA/OPP_3PA,FTA/OPP_FTA,STL/OPP_STL,TOV/OPP_TOV,PF/OPP_PF
2021,ucla,0,0,1,32,41.4,26.8,58.0,0.461,19.9,39.7,0.503,6.8,18.3,0.37200000000000005,13.1,18.3,0.715,9.8,25.2,34.9,13.7,4.9,2.8,10.5,16.1,73.4,32,41.4,24.9,56.6,0.441,17.8,35.3,0.504,7.2,21.3,0.337,11.4,15.9,0.7140000000000001,7.9,23.6,31.5,12.4,4.9,2.9,11.8,18.0,68.4,5.0,1.0730994152046784,1.3047619047619048,1.1048387096774193,3.3999999999999986,0.5256024096385542,0.7613293051359517,0.2934131736526946,0.9655172413793103,1.0453514739229026,0.998015873015873,1.4925816023738872,0.31551724137931036,1.0247349823321554,1.3999999999999986,0.5206896551724138,0.5035335689045937,1.0340713853599517,1.1179775280898876,0.9444444444444444,1.0763052208835342,1.1491228070175439,1.124645892351275,0.8591549295774648,1.150943396226415,1.0,0.8898305084745762,0.8944444444444445
2019,virginia,1,1,1,38,40.4,25.6,54.1,0.474,17.2,32.7,0.525,8.4,21.4,0.395,11.7,15.7,0.7440000000000001,9.0,25.9,34.9,14.3,5.6,3.9,9.0,14.3,71.4,38,40.4,20.2,52.5,0.385,13.8,30.2,0.457,6.4,22.3,0.289,9.2,13.8,0.6659999999999999,8.5,21.3,29.8,8.8,5.0,2.7,10.7,15.6,56.1,15.300000000000004,1.2727272727272727,1.588888888888889,1.625,5.099999999999998,0.5394126738794436,0.752906976744186,0.297029702970297,1.4444444444444444,1.2311688311688311,1.148796498905908,1.8166089965397927,0.39556377079482435,1.0304761904761905,1.6000000000000014,0.5508317929759704,0.4457142857142857,1.2358405611640362,1.2463768115942029,1.3125,1.2673267326732673,1.2717391304347827,1.0827814569536425,0.959641255605381,1.1376811594202898,1.1199999999999999,0.8411214953271029,0.9166666666666667
2019,texas-tech,0,1,1,38,40.3,26.1,55.5,0.469,18.8,35.6,0.528,7.3,20.0,0.365,13.4,18.3,0.732,8.3,25.8,34.1,13.6,7.3,4.9,12.0,17.4,72.8,38,40.3,19.8,53.3,0.37,13.4,31.9,0.419,6.4,21.5,0.298,13.6,19.6,0.6940000000000001,9.8,23.2,33.0,9.8,6.2,2.5,15.4,18.6,59.5,13.299999999999997,1.2235294117647058,1.1333333333333333,1.387755102040816,1.1000000000000014,0.5081967213114754,0.7247191011235955,0.2634920634920635,1.9600000000000002,1.2675675675675675,1.2601431980906923,1.7718120805369129,0.36036036036036034,1.0412757973733584,2.200000000000003,0.536036036036036,0.43151969981238275,1.2422052487269877,1.4029850746268657,1.140625,1.3181818181818181,0.9852941176470589,1.115987460815047,0.9302325581395349,0.9336734693877551,1.1774193548387095,0.7792207792207793,0.9354838709677418
2019,auburn,0,0,1,40,40.4,27.4,61.0,0.45,16.1,30.9,0.521,11.4,30.1,0.377,13.5,19.0,0.711,11.4,22.8,34.2,14.3,9.2,4.8,11.7,18.3,79.7,40,40.4,23.5,53.8,0.43700000000000006,15.4,30.4,0.507,8.1,23.4,0.345,13.7,19.4,0.7070000000000001,10.6,24.7,35.3,12.3,5.7,3.6,17.1,17.3,68.8,10.900000000000006,1.1584302325581397,1.2222222222222223,1.1626016260162602,-1.0999999999999943,0.49208633093525184,0.6826347305389222,0.3157894736842105,1.3333333333333333,1.0297482837528602,1.0276134122287968,1.510144927536232,0.4934426229508197,1.1338289962825279,7.200000000000003,0.5426229508196722,0.5120817843866171,1.0596411888964923,1.0454545454545454,1.4074074074074074,1.1659574468085105,0.9854014598540146,1.0164473684210527,1.2863247863247864,0.9793814432989691,1.6140350877192982,0.6842105263157894,1.0578034682080926
2019,michigan-state,0,0,1,39,40.3,27.5,57.2,0.48,19.3,35.5,0.5429999999999999,8.2,21.6,0.37799999999999995,14.5,19.2,0.753,10.6,29.9,40.5,18.3,5.2,5.3,12.6,16.6,77.6,39,40.3,23.2,61.0,0.381,16.0,38.3,0.419,7.2,22.7,0.316,11.4,16.8,0.679,10.4,21.4,31.7,12.1,6.2,3.0,10.2,17.8,65.0,12.599999999999994,1.1938461538461538,1.4523809523809526,1.512396694214876,8.8,0.5609418282548476,0.7419354838709677,0.33125,1.7666666666666666,1.2598425196850394,1.295942720763723,1.7183544303797467,0.3776223776223776,0.9377049180327869,-3.799999999999997,0.5524475524475524,0.439344262295082,1.2574365932574885,1.20625,1.1388888888888888,1.1853448275862069,1.2719298245614035,0.926892950391645,0.9515418502202644,1.1428571428571428,0.8387096774193549,1.2352941176470589,0.9325842696629214
2018,villanova,1,1,1,40,40.4,30.5,61.0,0.5,18.9,32.1,0.59,11.6,29.0,0.401,14.0,18.0,0.779,9.6,26.3,35.9,16.4,6.5,4.1,10.7,16.1,86.6,40,40.4,25.7,60.0,0.428,18.9,38.6,0.49,6.8,21.5,0.317,12.0,16.0,0.747,9.5,23.2,32.7,13.3,4.8,2.6,12.8,17.5,70.2,16.39999999999999,1.2336182336182335,1.5327102803738317,1.2330827067669172,3.1999999999999957,0.5233236151603499,0.73463687150838,0.29268292682926833,1.5769230769230766,1.1682242990654206,1.2040816326530612,1.861198738170347,0.47540983606557374,1.0166666666666666,1.0,0.5950819672131147,0.485,1.2269731282744634,1.0,1.7058823529411764,1.1867704280155642,1.1666666666666667,0.8316062176165803,1.3488372093023255,1.125,1.3541666666666667,0.8359374999999999,0.92
2018,michigan,0,1,1,41,40.4,26.6,57.0,0.46799999999999997,17.8,32.3,0.552,8.8,24.7,0.35700000000000004,11.6,17.5,0.6609999999999999,8.4,24.9,33.3,14.3,6.4,3.1,9.2,15.7,73.6,41,40.4,23.1,54.3,0.426,17.7,37.8,0.46799999999999997,5.4,16.5,0.32799999999999996,11.7,16.2,0.721,8.3,24.7,33.0,10.0,4.2,3.1,12.9,17.8,63.3,10.299999999999997,1.1627172195892574,1.5543478260869568,1.4300000000000002,0.29999999999999716,0.502262443438914,0.7499999999999999,0.2537764350453172,1.0,1.0985915492957745,1.1794871794871797,1.682926829268293,0.43333333333333335,1.0497237569060773,2.700000000000003,0.543859649122807,0.4751381215469614,1.1446348429212565,1.0056497175141244,1.6296296296296298,1.1515151515151516,0.9914529914529915,0.8544973544973545,1.4969696969696968,1.080246913580247,1.5238095238095237,0.7131782945736433,0.8820224719101123
2018,kansas,0,0,1,39,40.1,29.9,60.7,0.49200000000000005,19.8,35.7,0.556,10.0,25.0,0.401,11.6,16.4,0.708,9.8,25.8,35.6,16.6,6.5,4.1,11.7,15.3,81.4,39,40.1,26.4,62.0,0.426,18.4,37.7,0.486,8.1,24.3,0.33299999999999996,10.9,15.3,0.713,11.6,23.5,35.2,12.8,5.5,3.5,12.8,16.8,71.9,9.5,1.1321279554937413,1.418803418803419,1.296875,0.3999999999999986,0.5028248587570621,0.6898395721925135,0.2942942942942943,1.1714285714285713,1.154929577464789,1.1440329218106997,1.66966966966967,0.41186161449752884,0.9790322580645162,-1.2999999999999972,0.5749588138385502,0.4911290322580645,1.1706878968141252,1.0760869565217392,1.234567901234568,1.1325757575757576,1.0642201834862384,0.946949602122016,1.02880658436214,1.0718954248366013,1.1818181818181819,0.9140624999999999,0.9107142857142857
2018,loyola-il,0,0,1,38,40.0,26.2,51.7,0.507,18.9,33.2,0.568,7.3,18.4,0.396,11.9,16.5,0.725,6.3,25.9,32.2,15.6,6.3,2.4,12.4,13.9,71.6,38,40.0,23.1,55.7,0.414,16.4,35.1,0.46799999999999997,6.7,20.7,0.32299999999999995,9.7,13.8,0.706,8.8,21.7,30.5,11.6,6.6,3.1,12.7,16.5,62.6,8.999999999999993,1.1437699680511182,1.2580645161290323,1.3448275862068966,1.7000000000000028,0.5135566188197768,0.7463976945244956,0.225,0.7741935483870968,1.2246376811594204,1.2136752136752136,1.758513931888545,0.3558994197292069,0.9281867145421903,-4.0,0.5773694390715667,0.47486535008976666,1.215859272449386,1.1524390243902438,1.0895522388059702,1.1341991341991342,1.2268041237113403,0.9458689458689459,0.8888888888888888,1.1956521739130435,0.9545454545454546,0.9763779527559056,0.8424242424242424
2017,north-carolina,1,1,1,40,40.1,30.7,65.8,0.466,23.6,45.9,0.514,7.1,20.0,0.355,16.1,22.9,0.701,15.8,28.0,43.7,18.1,7.1,3.5,11.8,17.8,84.4,40,40.1,24.6,59.4,0.413,16.6,36.0,0.461,8.0,23.5,0.34,13.5,18.7,0.725,9.1,22.4,31.5,11.5,6.2,4.4,13.6,19.5,70.6,13.800000000000011,1.1954674220963175,1.533898305084746,1.5739130434782609,12.200000000000003,0.5811170212765958,0.7547169811320754,0.41361256544502617,0.7954545454545454,1.1283292978208235,1.1149674620390455,1.511764705882353,0.303951367781155,1.1077441077441077,6.399999999999999,0.520516717325228,0.4814814814814815,1.0810731821370119,1.4216867469879517,0.8875,1.2479674796747966,1.1925925925925926,1.275,0.851063829787234,1.2245989304812834,1.1451612903225805,0.8676470588235294,0.9128205128205129
2017,gonzaga,0,1,1,39,40.0,29.5,58.5,0.504,22.1,39.3,0.564,7.3,19.2,0.382,16.4,22.8,0.7170000000000001,9.7,31.0,40.7,15.3,6.8,4.7,11.5,16.9,82.6,39,40.0,22.4,61.5,0.365,16.7,41.8,0.4,5.7,19.8,0.289,10.9,16.6,0.6579999999999999,10.8,22.8,33.6,9.7,5.4,3.1,12.2,19.7,61.5,21.099999999999994,1.3430894308943089,1.3304347826086957,1.5773195876288661,7.100000000000001,0.5477792732166891,0.7416267942583733,0.29846153846153844,1.5161290322580645,1.3808219178082193,1.4099999999999997,1.9515570934256055,0.3282051282051282,0.9512195121951219,-3.0,0.5666666666666667,0.4105691056910569,1.38019801980198,1.3233532934131738,1.280701754385965,1.3169642857142858,1.5045871559633026,0.9401913875598086,0.9696969696969696,1.3734939759036144,1.259259259259259,0.9426229508196722,0.8578680203045684
2017,oregon,0,0,1,39,40.1,28.0,58.2,0.48100000000000004,19.4,35.6,0.545,8.6,22.6,0.38,14.4,20.2,0.7120000000000001,10.6,26.1,36.7,15.7,6.5,6.4,11.6,15.7,78.9,39,40.1,23.9,59.3,0.40299999999999997,16.9,36.9,0.45799999999999996,7.0,22.4,0.313,11.0,15.3,0.7190000000000001,10.5,22.2,32.7,11.7,4.8,3.4,13.2,19.0,65.8,13.100000000000009,1.1990881458966567,1.353448275862069,1.341880341880342,4.0,0.5288184438040345,0.7131147540983607,0.3231707317073171,1.8823529411764708,1.1935483870967745,1.1899563318777295,1.7412140575079873,0.38831615120274915,0.9814502529510962,-1.0999999999999943,0.5549828178694157,0.4620573355817875,1.2011124488925675,1.1479289940828403,1.2285714285714284,1.1715481171548119,1.309090909090909,0.964769647696477,1.0089285714285716,1.3202614379084967,1.3541666666666667,0.8787878787878788,0.8263157894736842
2017,south-carolina,0,0,1,37,40.7,25.0,59.4,0.42100000000000004,18.3,39.6,0.462,6.7,19.8,0.33799999999999997,16.5,23.6,0.6990000000000001,12.5,23.8,36.4,12.6,7.8,3.8,13.0,20.3,73.2,37,40.7,21.3,53.2,0.401,15.7,34.6,0.45299999999999996,5.6,18.6,0.303,17.0,23.5,0.7240000000000001,10.3,24.9,35.2,9.8,6.0,3.8,17.1,21.0,65.2,8.0,1.1226993865030674,0.9692307692307692,1.2857142857142856,1.1999999999999957,0.5083798882681565,0.6979472140762464,0.3342245989304813,1.0,1.0498753117206983,1.0198675496688743,1.5247524752475248,0.33333333333333337,1.1165413533834585,6.199999999999996,0.4772727272727273,0.45300751879699247,1.053564692568842,1.1656050955414015,1.1964285714285716,1.1737089201877935,0.9705882352941176,1.1445086705202312,1.064516129032258,1.0042553191489363,1.3,0.7602339181286549,0.9666666666666667
2016,villanova,1,1,1,40,40.1,27.2,56.2,0.483,18.5,32.2,0.574,8.7,24.0,0.36200000000000004,15.0,19.2,0.782,8.8,25.9,34.6,15.9,7.1,3.4,11.0,17.0,78.0,40,40.1,22.7,56.2,0.40299999999999997,15.5,35.2,0.441,7.1,21.0,0.33899999999999997,11.2,16.9,0.662,10.5,22.6,33.1,12.8,5.8,2.2,13.8,18.9,63.6,14.399999999999999,1.2264150943396226,1.4454545454545455,1.2421875,1.5,0.5110782865583456,0.7115384615384616,0.2802547770700637,1.5454545454545452,1.1985111662531018,1.3015873015873014,1.6932153392330385,0.4270462633451957,1.0,0.0,0.5613879003558718,0.4670818505338078,1.2019047619047618,1.1935483870967742,1.2253521126760563,1.198237885462555,1.3392857142857144,0.9147727272727273,1.1428571428571428,1.136094674556213,1.2241379310344827,0.7971014492753623,0.8994708994708995
2016,north-carolina,0,1,1,40,40.0,30.9,64.0,0.48200000000000004,25.3,46.9,0.539,5.6,17.1,0.327,15.4,20.7,0.747,14.2,26.4,40.6,17.7,6.7,4.4,10.8,18.0,82.8,40,40.0,24.8,59.6,0.41700000000000004,17.1,38.4,0.447,7.7,21.3,0.36200000000000004,12.6,18.1,0.6970000000000001,11.0,21.0,32.1,10.9,5.6,3.1,12.8,18.3,70.0,12.799999999999997,1.1828571428571428,1.6388888888888886,1.6238532110091741,8.5,0.5584594222833562,0.7058823529411764,0.4034090909090909,1.4193548387096775,1.1558752997601918,1.2058165548098434,1.4889502762430937,0.2671875,1.0738255033557047,4.399999999999999,0.5265624999999999,0.4807046979865772,1.095397033158813,1.47953216374269,0.7272727272727272,1.2459677419354838,1.2222222222222223,1.2213541666666667,0.8028169014084507,1.1436464088397789,1.1964285714285716,0.84375,0.9836065573770492
2016,oklahoma,0,0,1,37,40.4,27.5,60.1,0.45799999999999996,17.2,35.6,0.48200000000000004,10.3,24.5,0.42200000000000004,14.3,19.8,0.722,11.0,27.3,38.3,14.5,6.7,5.1,13.1,17.0,79.7,37,40.4,25.8,62.5,0.41200000000000003,18.2,40.2,0.45299999999999996,7.5,22.3,0.337,12.0,17.7,0.6779999999999999,11.7,24.5,36.2,11.1,7.2,3.2,12.6,18.8,71.1,8.600000000000009,1.1209563994374123,1.1068702290076335,1.3063063063063063,2.0999999999999943,0.5140939597315436,0.7000000000000001,0.30985915492957744,1.5937499999999998,1.111650485436893,1.0640176600441502,1.4302670623145401,0.4076539101497504,0.9616,-2.3999999999999986,0.543261231281198,0.4728,1.1490296769906894,0.945054945054945,1.3733333333333335,1.065891472868217,1.1916666666666667,0.8855721393034826,1.0986547085201794,1.1186440677966103,0.9305555555555556,1.0396825396825398,0.9042553191489361
2016,syracuse,0,0,1,37,40.4,23.9,56.2,0.425,15.4,32.5,0.473,8.5,23.7,0.36,13.7,19.9,0.688,12.0,23.6,35.6,13.3,8.1,4.4,11.9,16.2,70.0,37,40.4,23.7,57.5,0.41200000000000003,16.7,34.6,0.48200000000000004,7.0,22.8,0.307,10.7,16.1,0.6659999999999999,12.7,23.9,36.7,15.4,6.3,3.0,13.3,17.5,65.1,4.900000000000006,1.0752688172043012,1.1176470588235294,0.8636363636363636,-1.1000000000000014,0.49239280774550476,0.6501377410468321,0.3342618384401114,1.4666666666666668,1.0315533980582523,0.9813278008298754,1.5407166123778502,0.42170818505338076,0.9773913043478262,-1.2999999999999972,0.5008896797153024,0.47304347826086957,1.058866050868746,0.9221556886227545,1.2142857142857142,1.0084388185654007,1.280373831775701,0.9393063583815029,1.0394736842105263,1.2360248447204967,1.2857142857142856,0.8947368421052632,0.9257142857142857
